CN_ID,CN_ADDRESS1,CN_ADDRESS2,CN_CITY,CN_STATE,CN_ZIP,N_ADDRESS,N_ADDR2,N_CITY,N_STATE,N_ZIP,N_ZIP4,N_LON,N_LAT,N_MCODE,N_LCODE,N_RCODE,N_HOUSENUM,N_PREDIR,N_STREET,N_STRSUF,N_POSTDIR,N_UNIT,N_UNIT2,N_UNITDES,N_UNITDES2,SPECIES
249014,1414 MASSACHUSETTS AVENUE,CISCO,BOXBOROUGH,MA,1719,1414 Massachusetts Ave,Cisco,Boxborough,MA,01719-2205,2205,-71.540476,42.485866,S80,AS0,S5HPNTSCZA,1414,,Massachusetts,Ave,,,,,,Northern Red Oak
352020,1010 WALTHAM ST,BROOKHAVEN,LEXINGTON,MA,2421,1010 Waltham St,Brookhaven,Lexington,MA,02421-8044,8044,-71.231855,42.414957,S80,AS0,S5HPNTSCZA,1010,,Waltham,St,,,,,,Red Maple
351421,287A BISHOPS FOREST DR.,BISHOPS FOREST 1,WALTHAM,MA,2452,287A Bishops Forest Dr,1 Bishops Forest Dr,Waltham,MA,02452-8804,8804,-71.226427,42.39963,S80,AS1,S5HPNTSCZA,287A,,Bishops Forest,Dr,,,,,,Shagbark Hickory
409753,50 CORPORATE AVE,,PLAINVILLE,CT,6062,50 Corporate Ave,,Plainville,CT,06062-1195,1195,-72.85964,41.691374,S80,AS0,S5HPNTSCZA,50,,Corporate,Ave,,,,,,White Pine
282649,236 WENNEKER DR,,SAINT LOUIS,MO,6312,236 Wenneker Dr,,Saint Louis,MO,63124-2034,2034,-90.352843,38.648653,S90,AS0,S5HPNTSC-A,236,,Wenneker,Dr,,,,,,Slippery Elm
408008,133 RUMSON RD WAY,,RUMSON,NJ,7760,133 Rumson Rd,,Rumson,NJ,07760-1236,1236,-74.011977,40.356071,S80,AS0,S5HPNTSCZA,133,,Rumson,Rd,,,,,,Jack Pine
255236,13 DEB LYNN DR,,ERIAL,NJ,8081,13 Deb Lynn Dr,,Erial,NJ,08081-9625,9625,-75.0022,39.77154,S80,AS0,S5HPNTSCZA,13,,Deb Lynn,Dr,,,,,,Yellowwood
408429,8 SPRINGHILL DR,,PRINCETON JUNCTION WEST WINDSOR,NJ,8550,8 Springhill Dr,,Princeton Junction,NJ,08550-5415,5415,-74.647633,40.29091,SA0,AS0,S5HPNTS-ZA,8,,Springhill,Dr,,,,,,Serviceberry
408880,816 LIGONIER ST STE610,PO BOX 110,LATROBE,PA,15650,816 Ligonier St # STE610,Po Box 110,Latrobe,PA,15650-1800,1800,-79.383246,40.315141,S80,AS0,S5HPNTSCZA,816,,Ligonier,St,,STE610,,#,,Sugar Maple
408954,801 INDIANA AVE,,LEMOYNE,PA,17043,801 Indiana Ave,,Lemoyne,PA,17043-1562,1562,-76.904866,40.246856,S80,AS0,S5HPNTSCZA,801,,Indiana,Ave,,,,,,White Oak
284138,118 NORTH LARKSPUR DR,,PALMYRA,PA,17078,118 N Larkspur Dr,,Palmyra,PA,17078-9005,9005,-76.599541,40.278433,S80,AS0,S5HPNTSCZA,118,N,Larkspur,Dr,,,,,,Box Elder
408867,93 KNOLL WOOD RD,,MILLERSVILLE,PA,17551,93 Knollwood Rd,,Millersville,PA,17551-9547,9547,-76.368298,39.99672,S88,AS0,S5HP-TSCZA,93,,Knollwood,Rd,,,,,,Loblolly Pine
408078,2202 SHASTA DR,,BLOOMSBURG,PA,17815,2202 Shasta Dr,,Bloomsburg,PA,17815-8999,8999,-76.422946,41.013724,S80,AS0,S5HPNTSCZA,2202,,Shasta,Dr,,,,,,Northern Red Oak
408035,1004 PRIMROSE AVE,,STROUDSBURG,PA,18360,1004 Primrose Ave,,Stroudsburg,PA,18360-9057,9057,-75.27523,40.919088,S80,AS0,S5HPNTSCZA,1004,,Primrose,Ave,,,,,,Red Maple
408922,1165 OLD TRAIL RD,,CLARKS SUMMIT,PA,18411,1165 Old Trail Rd,,Clarks Summit,PA,18411-9255,9255,-75.726973,41.510676,S80,AS0,S5HPNTSCZA,1165,,Old Trail,Rd,,,,,,Shagbark Hickory
408944,1660 FOREST ACRES DR,,CLARKS SUMMIT,PA,18411,1660 Forest Acres Dr,,Clarks Summit,PA,18411-9526,9526,-75.745519,41.47476,S80,AS0,S5HPNTSCZA,1660,,Forest Acres,Dr,,,,,,White Pine
408934,203 PRIMROSE DR,,CLARKS SUMMIT,PA,18411,203 Primrose Dr,,Clarks Summit,PA,18411-2125,2125,-75.70062,41.484439,S80,AS0,S5HPNTSCZA,203,,Primrose,Dr,,,,,,Slippery Elm
408924,52 IVYWOOD DR,,CLARKS SUMMIT,PA,18411,52 Ivywood Dr,,Clarks Summit,PA,18411-9180,9180,-75.727954,41.472424,S80,AS0,S5HPNTSCZA,52,,Ivywood,Dr,,,,,,Jack Pine
408024,1150 NEW ST,,JESSUP,PA,18434,1150 New St,,Jessup,PA,18434-1722,1722,-75.564205,41.466693,S80,AS0,S5HPNTSCZA,1150,,New,St,,,,,,Yellowwood
408010,522 CRIPPEN ST,,MOOSIC,PA,18507,522 Crippen St,,Moosic,PA,18507-1070,1070,-75.734658,41.357472,S80,AS0,S5HPNTSCZA,522,,Crippen,St,,,,,,Serviceberry
408012,114 EDDY ST,,THROOP,PA,18512,114 Eddy St,,Throop,PA,18512,,-75.6163,41.427,E024,ZC5X,Z1,114,,Eddy,St,,,,,,Sugar Maple
408552,137 WALNUT ST,,DUNMORE,PA,18512,137 Walnut St,,Dunmore,PA,18512-2937,2937,-75.626341,41.415996,S80,AS0,S5HPNTSCZA,137,,Walnut,St,,,,,,White Oak
408947,101 EDGEWOOD RD.,,OLD FORGE,PA,18518,101 Edgewood Dr,,Old Forge,PA,18518-1245,1245,-75.748124,41.371125,S81,AS0,S5HPN-SCZA,101,,Edgewood,Dr,,,,,,Box Elder
408069,15 PEER TREE LN,,DALLAS,PA,18612,15 Pear Tree Ln,,Dallas,PA,18612-1207,1207,-75.953954,41.339529,S88,AS0,S5HP--SCZA,15,,Pear Tree,Ln,,,,,,Loblolly Pine
408072,2 DEER MEADOW DR,,DALLAS,PA,18612,2 Deer Meadow Dr,,Dallas,PA,18612-1556,1556,-75.976683,41.33116,S80,AS0,S5HPNTSCZA,2,,Deer Meadow,Dr,,,,,,Northern Red Oak
408062,495 LK LOUISE RD,,DALLAS,PA,18612,495 Lake Louise Rd,,Dallas,PA,18612-6063,6063,-75.907,41.3805,S88,ZB9E,S3HP-TSCZA,495,,Lake Louise,Rd,,,,,,Red Maple
408002,75 HIGHLAND BLVD,,DALLAS,PA,18612,75 Highland Blvd,,Dallas,PA,18612-1315,1315,-75.977496,41.336451,S80,AS0,S5HPNTSCZA,75,,Highland,Blvd,,,,,,Shagbark Hickory
408021,506 PERRY ST,,NANTICOKE,PA,18634,506 Perry St,,Nanticoke,PA,18634-4423,4423,-75.982248,41.188696,S80,AS0,S5HPNTSCZA,506,,Perry,St,,,,,,White Pine
408089,1040 RUTTER AVE,,FORTY FORT,PA,18704,1040 Rutter Ave,,Forty Fort,PA,18704-4910,4910,-75.871499,41.273884,S80,AS0,S5HPNTSCZA,1040,,Rutter,Ave,,,,,,Slippery Elm
408091,62 FILBERT ST,,FORTY FORT,PA,18704,62 Filbert St,,Forty Fort,PA,18704-4212,4212,-75.870032,41.291615,S80,AS0,S5HPNTSCZA,62,,Filbert,St,,,,,,Jack Pine
408074,18 SUNRISE DR,,WILKES-BARRE,PA,18705,18 Sunrise Dr,,Wilkes Barre,PA,18705-2410,2410,-75.860962,41.256888,SA0,AS0,S5HPNTS-ZA,18,,Sunrise,Dr,,,,,,Yellowwood
404476,392 HARRIS HILL RD,,SHAVERTOWN,PA,18708,392 Harris Hill Rd,,Shavertown,PA,18708-9650,9650,-75.916419,41.33046,S80,AS0,S5HPNTSCZA,392,,Harris Hill,Rd,,,,,,Serviceberry
404395,4 JACKSON RD,,SHAVERTOWN,PA,18708,4 Jackson Rd,,Shavertown,PA,18708-8006,8006,-75.989691,41.30669,S80,AS0,S5HPNTSCZA,4,,Jackson,Rd,,,,,,Sugar Maple
404470,408 BRIARWOOD DR,,SHAVERTOWN,PA,18708,408 Briarwood Dr,,Shavertown,PA,18708-9796,9796,-75.973016,41.280122,S80,AS0,S5HPNTSCZA,408,,Briarwood,Dr,,,,,,White Oak
389343,1133 BETHLEHEM PIKE,SPRINGHOUSE PLAZA,AMBLER,PA,19002,1133 Bethlehem Pike,Springhouse Plaza,Ambler,PA,19002,,-75.2108,40.1773,E023,ZC5X,M5H-NTSCZA,1133,,Bethlehem,Pike,,,,,,Box Elder
356271,100 CROSSING DRIVE,KEYSTONE CROSSING COMMON,BRISTOL,PA,19007,100 Crossing Dr,Keystone Crossing Common,Bristol,PA,19007-1507,1507,-74.896432,40.113292,S80,AS0,S5HPNTSCZA,100,,Crossing,Dr,,,,,,Loblolly Pine
360975,31 North Chestnut St,,Elverson,PA,19520,31 N Chestnut St,,Elverson,PA,19520-9401,9401,-75.833083,40.158299,S80,AS0,S5HPNTSCZA,31,N,Chestnut,St,,,,,,Northern Red Oak
331364,39 CHURCHILL DR.,CHURCHILL DR AND STABLE DR,ELVERSON,PA,19520,39 Churchill Dr,,Elverson,PA,19520-9245,9245,-75.823319,40.153839,S80,AS0,S5HPNTSCZA,39,,Churchill,Dr,,,,,,Red Maple
358881,MEADOW GLEN & MEADOW LANE,,?WYOMISSING,PA,19610,Meadow Glen & Meadow Lane,,?Wyomissing,PA,19610,,-75.9728,40.3375,E023,ZC5X,MX,,,Meadow,Gln,,,,,,Shagbark Hickory
408040,479 BETHANY LOOP,,BETHANY BEACH,DE,19930,479 Bethany Loop,,Bethany Beach,DE,19930-9023,9023,-75.0788,38.546194,S80,AS0,S5HPNTSCZA,479,,Bethany,Loop,,,,,,White Pine
408043,4 HOORNKILL AVE,,LEWES,DE,19958,4 Hoornkill Ave,,Lewes,DE,19958-1202,1202,-75.155742,38.781852,S80,AS0,S5HPNTSCZA,4,,Hoornkill,Ave,,,,,,Slippery Elm
400965,THOREAU PLACE AND BELMONT RDG CT,SOUTH CLUSTER,RESTON,VA,20191,Thoreau Place And Belmont Rdg Ct,South Cluster,Reston,VA,20191,,-77.3512,38.9384,E020,ZC5X,Z1,,,Thoreau,Pl,,,,,,Jack Pine
